Gene,TSS,Phenotype,P Value,Gene Score,Hit Class,External
PPCDC,PPCDC_P1,-5.603327248,0.002841189,-14.26887214,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PPCDC+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPCDC)
COMP,COMP,-9.374714047,0.030504961,-14.20859341,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=COMP+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMP)
NDUFS1,NDUFS1,-5.754598217,0.003539605,-14.10478034,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NDUFS1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFS1)
ATP5A1,ATP5A1_P1,-7.490364473,0.013548677,-13.99277317,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ATP5A1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5A1)
LCMT1,LCMT1,-7.889679878,0.017047478,-13.95163542,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=LCMT1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCMT1)
BUB1B,BUB1B,-5.047401903,0.001924158,-13.7075285,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=BUB1B+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=BUB1B)
OAZ3,OAZ3_P2,-5.484998121,0.003204768,-13.68070099,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=OAZ3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=OAZ3)
SPTLC2,SPTLC2,-3.94381391,0.000355882,-13.60100728,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SPTLC2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPTLC2)
RPS6KB1,RPS6KB1,-5.037559301,0.002048027,-13.54430596,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=RPS6KB1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KB1)
RAB7A,RAB7A,-6.532617674,0.008947183,-13.38085015,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=RAB7A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB7A)
NDUFAB1,NDUFAB1,-6.187218657,0.007053483,-13.31239724,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NDUFAB1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFAB1)
NDUFA10,NDUFA10,-4.698171175,0.001526525,-13.23144106,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NDUFA10+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA10)
PLK4,PLK4,-10.31233981,0.057684091,-12.77641099,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PLK4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLK4)
UQCRC1,UQCRC1_P1,-6.21818108,0.009788769,-12.49401664,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=UQCRC1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=UQCRC1)
FNTA,FNTA,-6.201746483,0.010144691,-12.36480137,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=FNTA+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=FNTA)
PPM1G,PPM1G_P1,-4.542505537,0.002912858,-11.51834356,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PPM1G+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPM1G)
NDUFA5,NDUFA5,-6.884191013,0.025250972,-10.99902274,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NDUFA5+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA5)
TAOK1,TAOK1,3.598578332,0.00088766,10.98197348,Positive Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TAOK1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAOK1)
